"","program","programska_klasifikacija","funkcija","ekonomska_klasifikacija","budzet","sopstveni_izvori","ostali_izvori","grad"
"318","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",0,0,-70000,"Kragujevac"
"319","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",0,0,-1e+05,"Kragujevac"
"320","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-9500000,0,0,"Kragujevac"
"321","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",0,0,-1000,"Kragujevac"
"322","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ",-2070000,0,0,"Kragujevac"
"323","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СТАЛНИ ТРОШКОВИ",-28892000,0,0,"Kragujevac"
"324","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СТАЛНИ ТРОШКОВИ",0,0,-209000,"Kragujevac"
"325","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СТАЛНИ ТРОШКОВИ",0,0,-620000,"Kragujevac"
"326","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ТРОШКОВИ ПУТОВАЊА",-282000,0,0,"Kragujevac"
"327","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","УСЛУГЕ ПО УГОВОРУ",-2189000,0,0,"Kragujevac"
"328","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","УСЛУГЕ ПО УГОВОРУ",0,0,-3000,"Kragujevac"
"329","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","УСЛУГЕ ПО УГОВОРУ",0,0,-28200000,"Kragujevac"
"330","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ",-2900000,0,0,"Kragujevac"
"331","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ",-6073000,0,0,"Kragujevac"
"332","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ",0,0,-3000,"Kragujevac"
"333","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ",0,0,-70000,"Kragujevac"
"334","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАТЕРИЈАЛ",-15269000,0,0,"Kragujevac"
"335","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАТЕРИЈАЛ",0,0,-14667000,"Kragujevac"
"336","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАТЕРИЈАЛ",0,0,-1e+05,"Kragujevac"
"337","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАТЕРИЈАЛ",0,0,-150000,"Kragujevac"
"338","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-1500000,0,0,"Kragujevac"
"339","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА",-950000,0,0,"Kragujevac"
"340","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА",0,0,-90000,"Kragujevac"
"341","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ, КАЗНЕ, ПЕНАЛИ И КАМАТЕ",-330000,0,0,"Kragujevac"
"342","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ, КАЗНЕ, ПЕНАЛИ И КАМАТЕ",0,0,-20000,"Kragujevac"
"343","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА",-150000,0,0,"Kragujevac"
"344","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА",0,0,-49000,"Kragujevac"
"345","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ",-3e+06,0,0,"Kragujevac"
"346","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАШИНЕ И ОПРЕМА",-2710000,0,0,"Kragujevac"
"347","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАШИНЕ И ОПРЕМА",0,0,-6880000,"Kragujevac"
"348","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАШИНЕ И ОПРЕМА",0,0,-10000,"Kragujevac"
"349","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАШИНЕ И ОПРЕМА",0,0,-4e+05,"Kragujevac"
"350","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-208953000,0,0,"Kragujevac"
"351","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-35835000,0,0,"Kragujevac"
"352","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НАКНАДЕ У НАТУРИ",-4e+05,0,0,"Kragujevac"
"353","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",-740000,0,0,"Kragujevac"
"354","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",0,0,-150000,"Kragujevac"
"355","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-8500000,0,0,"Kragujevac"
"356","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ",-2684000,0,0,"Kragujevac"
"357","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СТАЛНИ ТРОШКОВИ",-29684000,0,0,"Kragujevac"
"358","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СТАЛНИ ТРОШКОВИ",0,0,-7e+05,"Kragujevac"
"359","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СТАЛНИ ТРОШКОВИ",0,0,-1000,"Kragujevac"
"360","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СТАЛНИ ТРОШКОВИ",0,0,-640000,"Kragujevac"
"361","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ТРОШКОВИ ПУТОВАЊА",-355000,0,0,"Kragujevac"
"362","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ТРОШКОВИ ПУТОВАЊА",0,0,-2005000,"Kragujevac"
"363","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","УСЛУГЕ ПО УГОВОРУ",-2664000,0,0,"Kragujevac"
"364","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","УСЛУГЕ ПО УГОВОРУ",0,0,-808000,"Kragujevac"
"365","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","УСЛУГЕ ПО УГОВОРУ",0,0,-1.9e+07,"Kragujevac"
"366","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ",-2100000,0,0,"Kragujevac"
"367","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ",0,0,-655000,"Kragujevac"
"368","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ",-5680000,0,0,"Kragujevac"
"369","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ",0,0,-4e+05,"Kragujevac"
"370","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАТЕРИЈАЛ",-1e+07,0,0,"Kragujevac"
"371","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАТЕРИЈАЛ",0,0,-21245000,"Kragujevac"
"372","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАТЕРИЈАЛ",0,0,-1e+05,"Kragujevac"
"373","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАТЕРИЈАЛ",0,0,-5e+05,"Kragujevac"
"374","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-1500000,0,0,"Kragujevac"
"375","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА",-1100000,0,0,"Kragujevac"
"376","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ, КАЗНЕ, ПЕНАЛИ И КАМАТЕ",-140000,0,0,"Kragujevac"
"377","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА",-150000,0,0,"Kragujevac"
"378","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ",-2300000,0,0,"Kragujevac"
"379","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАШИНЕ И ОПРЕМА",-3850000,0,0,"Kragujevac"
"380","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАШИНЕ И ОПРЕМА",0,0,-6e+05,"Kragujevac"
"381","ПРЕДШКОЛСКО ВАСПИТАЊЕ И ОБРАЗОВАЊЕ","Функционисање и остваривање предшколског вапитања и образовања","Предшколско образовање","МАШИНЕ И ОПРЕМА",0,0,-1e+05,"Kragujevac"
"382","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-29700000,0,0,"Kragujevac"
"383","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-5100000,0,0,"Kragujevac"
"384","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","НАКНАДЕ У НАТУРИ",-340000,0,0,"Kragujevac"
"385","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","НАКНАДЕ У НАТУРИ",0,-5000,0,"Kragujevac"
"386","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",-450000,0,0,"Kragujevac"
"387","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",0,-30000,0,"Kragujevac"
"388","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-690000,0,0,"Kragujevac"
"389","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",0,-70000,0,"Kragujevac"
"390","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ",-275000,0,0,"Kragujevac"
"391","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","СТАЛНИ ТРОШКОВИ",-2891000,0,0,"Kragujevac"
"392","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","СТАЛНИ ТРОШКОВИ",0,-524000,0,"Kragujevac"
"393","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","ТРОШКОВИ ПУТОВАЊА",-171000,0,0,"Kragujevac"
"394","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","ТРОШКОВИ ПУТОВАЊА",0,-166000,0,"Kragujevac"
"395","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","УСЛУГЕ ПО УГОВОРУ",-8818000,0,0,"Kragujevac"
"396","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","УСЛУГЕ ПО УГОВОРУ",0,-261000,0,"Kragujevac"
"397","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ",-446000,0,0,"Kragujevac"
"398","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ",0,-117000,0,"Kragujevac"
"399","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ",-2900000,0,0,"Kragujevac"
"400","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ",0,-337000,0,"Kragujevac"
"401","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","МАТЕРИЈАЛ",-1571000,0,0,"Kragujevac"
"402","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","МАТЕРИЈАЛ",0,-510000,0,"Kragujevac"
"403","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","МАТЕРИЈАЛ",0,0,-10000,"Kragujevac"
"404","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА",-15000,0,0,"Kragujevac"
"405","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА",0,-30000,0,"Kragujevac"
"406","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-197000,0,0,"Kragujevac"
"407","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА",-4280000,0,0,"Kragujevac"
"408","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА",0,-465000,0,"Kragujevac"
"409","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ, КАЗНЕ, ПЕНАЛИ И КАМАТЕ",-95000,0,0,"Kragujevac"
"410","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ, КАЗНЕ, ПЕНАЛИ И КАМАТЕ",0,-30000,0,"Kragujevac"
"411","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА",-10000,0,0,"Kragujevac"
"412","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА",0,-1000,0,"Kragujevac"
"413","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","МАШИНЕ И ОПРЕМА",-748000,0,0,"Kragujevac"
"414","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Породични и домски смештај, прихватилишта и друге врсте смештаја","Социјална заштита некласификована на другом местру","МАШИНЕ И ОПРЕМА",0,-104000,0,"Kragujevac"
"415","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Светодавно-терапијске и социјално-едукативне услуге","Социјална заштита некласификована на другом местру","СТАЛНИ ТРОШКОВИ",-339000,0,0,"Kragujevac"
"416","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Светодавно-терапијске и социјално-едукативне услуге","Социјална заштита некласификована на другом местру","ТРОШКОВИ ПУТОВАЊА",-1e+05,0,0,"Kragujevac"
"417","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Светодавно-терапијске и социјално-едукативне услуге","Социјална заштита некласификована на другом местру","УСЛУГЕ ПО УГОВОРУ",-5e+05,0,0,"Kragujevac"
"418","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Светодавно-терапијске и социјално-едукативне услуге","Социјална заштита некласификована на другом местру","ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ",-125000,0,0,"Kragujevac"
"419","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Светодавно-терапијске и социјално-едукативне услуге","Социјална заштита некласификована на другом местру","МАТЕРИЈАЛ",-70000,0,0,"Kragujevac"
"420","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Светодавно-терапијске и социјално-едукативне услуге","Социјална заштита некласификована на другом местру","МАШИНЕ И ОПРЕМА",-70000,0,0,"Kragujevac"
"421","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Подршка особама са инвалидитетом","Социјална заштита некласификована на другом местру","НАКНАДЕ У НАТУРИ",0,-45000,0,"Kragujevac"
"422","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Подршка особама са инвалидитетом","Социјална заштита некласификована на другом местру","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",0,-30000,0,"Kragujevac"
"423","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Подршка особама са инвалидитетом","Социјална заштита некласификована на другом местру","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",0,-65000,0,"Kragujevac"
"424","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Подршка особама са инвалидитетом","Социјална заштита некласификована на другом местру","СТАЛНИ ТРОШКОВИ",-25000,0,0,"Kragujevac"
"425","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Подршка особама са инвалидитетом","Социјална заштита некласификована на другом местру","СТАЛНИ ТРОШКОВИ",0,-360000,0,"Kragujevac"
"426","СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА","Подршка особама са инвалидитетом","Социјална заштита некласификована на другом местру","ТРОШКОВИ ПУТОВАЊА",-30000,0,0,"Kragujevac"
